,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
"PAPERMOON (from ""Soul Eater"")___AmaLee",0.532,0.892,7,-3.145,0,0.0408,0.119,0.0427,0.0896,0.531,163.984,audio_features,4v0MjZNh7AfWyFrHd9YRjR,spotify:track:4v0MjZNh7AfWyFrHd9YRjR,https://api.spotify.com/v1/tracks/4v0MjZNh7AfWyFrHd9YRjR,https://api.spotify.com/v1/audio-analysis/4v0MjZNh7AfWyFrHd9YRjR,285877,4,"Total Coverage, Vol. 3",6XuEtZVGhtUpzC3UAKz6La
Young And Beautiful [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix Radio Edit___Lana Del Rey,0.551,0.874,11,-4.559,0,0.0496,0.0427,0.00129,0.396,0.421,125.985,audio_features,4aBDS6611oBs5LBiVMuQmh,spotify:track:4aBDS6611oBs5LBiVMuQmh,https://api.spotify.com/v1/tracks/4aBDS6611oBs5LBiVMuQmh,https://api.spotify.com/v1/audio-analysis/4aBDS6611oBs5LBiVMuQmh,227115,4,Young And Beautiful [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix Radio Edit),02duSuiRA2CHxrCdeRUHz5
Re:Re: (Single ver.)___ASIAN KUNG-FU GENERATION,0.464,0.869,6,-5.05,0,0.0502,0.000254,0.000403,0.248,0.506,155.009,audio_features,7gehOKSGfZgjIJSxiyE8oD,spotify:track:7gehOKSGfZgjIJSxiyE8oD,https://api.spotify.com/v1/tracks/7gehOKSGfZgjIJSxiyE8oD,https://api.spotify.com/v1/audio-analysis/7gehOKSGfZgjIJSxiyE8oD,332240,4,Re: Re:,23D18mxnMTTn56cgcmlSWh
ラストミッション___日向 萌,0.154,0.618,11,-11.319,1,0.0457,0.000616,0.842,0.296,0.356,170.074,audio_features,0GDjNGYl2w66YVm9rXR85i,spotify:track:0GDjNGYl2w66YVm9rXR85i,https://api.spotify.com/v1/tracks/0GDjNGYl2w66YVm9rXR85i,https://api.spotify.com/v1/audio-analysis/0GDjNGYl2w66YVm9rXR85i,143520,3,TVアニメ『シュタインズ・ゲート ゼロ』オリジナル・サウンドトラック,39C4T9TCMg6yjleEADxDq4
Captain Hook___Megan Thee Stallion,0.863,0.633,10,-5.002,0,0.287,0.0118,0,0.285,0.545,163.991,audio_features,1E3VQQWFQAPJkXfYHjqWoI,spotify:track:1E3VQQWFQAPJkXfYHjqWoI,https://api.spotify.com/v1/tracks/1E3VQQWFQAPJkXfYHjqWoI,https://api.spotify.com/v1/audio-analysis/1E3VQQWFQAPJkXfYHjqWoI,176750,4,Suga,6Lo6ylJg4qbFfxicPEOzMI
NIGHTRIDER___Arizona Zervas,0.66,0.755,0,-4.501,0,0.0469,0.0876,0,0.102,0.862,145.948,audio_features,72PFP54TZ9Tpj9dYQcb46D,spotify:track:72PFP54TZ9Tpj9dYQcb46D,https://api.spotify.com/v1/tracks/72PFP54TZ9Tpj9dYQcb46D,https://api.spotify.com/v1/audio-analysis/72PFP54TZ9Tpj9dYQcb46D,156368,4,NIGHTRIDER,3Z4azB3wiiI0fwXNTvQwwB
I Can't Understand___Chocolate Puma,0.647,0.958,7,-3.313,0,0.0445,0.000537,0.0348,0.0655,0.516,125.036,audio_features,2Natup55yLMpYXRSccIT0V,spotify:track:2Natup55yLMpYXRSccIT0V,https://api.spotify.com/v1/tracks/2Natup55yLMpYXRSccIT0V,https://api.spotify.com/v1/audio-analysis/2Natup55yLMpYXRSccIT0V,195840,4,I Can't Understand,7kxzbJcoI1gpZ7SvxM9HMv
Earthquake___Justin Prime,0.46,0.0994,7,-18.023,1,0.038,0.934,0.911,0.296,0.479,137.539,audio_features,4p2gdlASQEbZUvlUKdjOub,spotify:track:4p2gdlASQEbZUvlUKdjOub,https://api.spotify.com/v1/tracks/4p2gdlASQEbZUvlUKdjOub,https://api.spotify.com/v1/audio-analysis/4p2gdlASQEbZUvlUKdjOub,103430,4,Earthquake,0TPlL79TO0ooOsJIGhKGOZ
STAND PROUD___Jin Hashimoto,0.293,0.958,9,-3.741,0,0.138,2.22e-05,6.64e-06,0.357,0.2,164.935,audio_features,3OqPSJsqe4LvcaVl7G6vV3,spotify:track:3OqPSJsqe4LvcaVl7G6vV3,https://api.spotify.com/v1/tracks/3OqPSJsqe4LvcaVl7G6vV3,https://api.spotify.com/v1/audio-analysis/3OqPSJsqe4LvcaVl7G6vV3,278067,4,STAND PROUD,4p5qdQrjYGuVwakXJ1hB4k
那些年 - 那些年___Hu Xia,0.544,0.528,5,-8.131,1,0.0271,0.299,0,0.107,0.215,79.045,audio_features,3v8FOuA8jxAC5SOA2uN6Mg,spotify:track:3v8FOuA8jxAC5SOA2uN6Mg,https://api.spotify.com/v1/tracks/3v8FOuA8jxAC5SOA2uN6Mg,https://api.spotify.com/v1/audio-analysis/3v8FOuA8jxAC5SOA2uN6Mg,369867,4,燃點,2lFXvFUkCw1HgK6My78Ldk
Firework___Katy Perry,0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124.072,audio_features,4lCv7b86sLynZbXhfScfm2,spotify:track:4lCv7b86sLynZbXhfScfm2,https://api.spotify.com/v1/tracks/4lCv7b86sLynZbXhfScfm2,https://api.spotify.com/v1/audio-analysis/4lCv7b86sLynZbXhfScfm2,227880,4,Katy Perry - Teenage Dream: The Complete Confection,5BvgP623rtvlc0HDcpzquz
Take You Down___ILLENIUM,0.275,0.657,11,-3.9,1,0.0431,0.396,0.000148,0.305,0.219,169.638,audio_features,6f1oG9hTx3NETgV6q4rkw5,spotify:track:6f1oG9hTx3NETgV6q4rkw5,https://api.spotify.com/v1/tracks/6f1oG9hTx3NETgV6q4rkw5,https://api.spotify.com/v1/audio-analysis/6f1oG9hTx3NETgV6q4rkw5,221398,4,ASCEND,60xcVwuQJAOyu11xf9mObS
Alive___Krewella,0.663,0.822,9,-2.909,1,0.0557,0.00413,0.00318,0.234,0.567,128.002,audio_features,2SHnUyZq0zwmvRIl4WY77G,spotify:track:2SHnUyZq0zwmvRIl4WY77G,https://api.spotify.com/v1/tracks/2SHnUyZq0zwmvRIl4WY77G,https://api.spotify.com/v1/audio-analysis/2SHnUyZq0zwmvRIl4WY77G,290760,4,Play Hard EP,5EQQiOF2nQibGXo7a9vZ7m
"Signal (OP From ""91 Days"")___Eddie van der Meer",0.388,0.495,5,-8.326,1,0.034,0.682,0.904,0.201,0.309,85.806,audio_features,1Mu6xL1sruPbIKCoOzZVKU,spotify:track:1Mu6xL1sruPbIKCoOzZVKU,https://api.spotify.com/v1/tracks/1Mu6xL1sruPbIKCoOzZVKU,https://api.spotify.com/v1/audio-analysis/1Mu6xL1sruPbIKCoOzZVKU,93750,4,Anime Songs #5,3urBCHbZYkJ9ZfsPNVEsE0
Break Free___Ariana Grande,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,audio_features,12KUFSHFgT0XCoiSlvdQi4,spotify:track:12KUFSHFgT0XCoiSlvdQi4,https://api.spotify.com/v1/tracks/12KUFSHFgT0XCoiSlvdQi4,https://api.spotify.com/v1/audio-analysis/12KUFSHFgT0XCoiSlvdQi4,214840,4,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj
Lose It (feat. Vic Mensa)___Flume,0.605,0.853,9,-2.765,0,0.321,0.0876,0,0.214,0.61,130.027,audio_features,4O4isJJBeAlmiP27sCDZ4e,spotify:track:4O4isJJBeAlmiP27sCDZ4e,https://api.spotify.com/v1/tracks/4O4isJJBeAlmiP27sCDZ4e,https://api.spotify.com/v1/audio-analysis/4O4isJJBeAlmiP27sCDZ4e,225853,4,Skin,4NZWRpoMuXaHU7csTjWdB5
Stay - Tritonal Remix___Zedd,0.654,0.737,5,-4.682,0,0.048,0.126,0,0.16,0.454,102.008,audio_features,21p7UJDFT2SUgwv08cNn5y,spotify:track:21p7UJDFT2SUgwv08cNn5y,https://api.spotify.com/v1/tracks/21p7UJDFT2SUgwv08cNn5y,https://api.spotify.com/v1/audio-analysis/21p7UJDFT2SUgwv08cNn5y,228235,4,Stay (Remixes),4muiz42Db785JhGlnLoQTg
Russian Roulette___Tungevaag,0.56,0.836,5,-4.022,0,0.0821,0.2,1.06e-06,0.314,0.38,127.643,audio_features,7au5GfpnyBltA6B2Eh0ekK,spotify:track:7au5GfpnyBltA6B2Eh0ekK,https://api.spotify.com/v1/tracks/7au5GfpnyBltA6B2Eh0ekK,https://api.spotify.com/v1/audio-analysis/7au5GfpnyBltA6B2Eh0ekK,199619,4,Russian Roulette,2yEQWQCLmcDcWJJ6m95ufZ
Better Days___OneRepublic,0.626,0.726,5,-5.015,1,0.0376,0.235,0,0.304,0.257,89.132,audio_features,2K0r5GD5zYlEMx2M7ZMcqG,spotify:track:2K0r5GD5zYlEMx2M7ZMcqG,https://api.spotify.com/v1/tracks/2K0r5GD5zYlEMx2M7ZMcqG,https://api.spotify.com/v1/audio-analysis/2K0r5GD5zYlEMx2M7ZMcqG,144530,4,Better Days,3ETKNL7BaU8N2gh1GH4HXQ
Would I Lie to You - Radio Edit___David Guetta,0.671,0.826,7,-5.766,0,0.309,0.00718,0,0.631,0.774,123.986,audio_features,4PdJSsESm34djLfBde9Pr2,spotify:track:4PdJSsESm34djLfBde9Pr2,https://api.spotify.com/v1/tracks/4PdJSsESm34djLfBde9Pr2,https://api.spotify.com/v1/audio-analysis/4PdJSsESm34djLfBde9Pr2,197648,4,Would I Lie to You,1o9FV0S0KY1kqmYsacy4j8
Dearest Drop___MyReminiscence,0.468,0.314,3,-18.269,0,0.0436,0.932,0.897,0.192,0.142,146.039,audio_features,4A1yjPVUSni7zmYKjdgwlx,spotify:track:4A1yjPVUSni7zmYKjdgwlx,https://api.spotify.com/v1/tracks/4A1yjPVUSni7zmYKjdgwlx,https://api.spotify.com/v1/audio-analysis/4A1yjPVUSni7zmYKjdgwlx,325613,4,"Aoryn Piano Cover Collection, Vol. 1",0q8MLwjw2MHXfLBXWaZ8QX
EIFORYA___Armin van Buuren,0.191,0.926,9,-3.277,0,0.0728,0.0108,0.959,0.189,0.167,131.971,audio_features,01C1tnLhBPw4MbAow3SeuH,spotify:track:01C1tnLhBPw4MbAow3SeuH,https://api.spotify.com/v1/tracks/01C1tnLhBPw4MbAow3SeuH,https://api.spotify.com/v1/audio-analysis/01C1tnLhBPw4MbAow3SeuH,185050,4,Lost Tapes,2GqsuyESlqI1idVNl9mJSX
Fire Blazing___Dropgun,0.557,0.876,2,-3.014,0,0.0368,0.00928,0.00416,0.298,0.368,140.012,audio_features,2R81XYNFqkLyemIxYb9aF7,spotify:track:2R81XYNFqkLyemIxYb9aF7,https://api.spotify.com/v1/tracks/2R81XYNFqkLyemIxYb9aF7,https://api.spotify.com/v1/audio-analysis/2R81XYNFqkLyemIxYb9aF7,140571,4,Fire Blazing,1OjpBGht6p8FgiitecLkOc
Runaway___Bon Jovi,0.475,0.899,9,-4.321,0,0.0637,0.00375,1.91e-05,0.14,0.603,152.445,audio_features,0X1sqQ652p1sceKM2nJlIJ,spotify:track:0X1sqQ652p1sceKM2nJlIJ,https://api.spotify.com/v1/tracks/0X1sqQ652p1sceKM2nJlIJ,https://api.spotify.com/v1/audio-analysis/0X1sqQ652p1sceKM2nJlIJ,230667,4,Bon Jovi,1UUOBzIHw0noiRGRpbt3sz
Don't Let Go___Maciel,0.658,0.841,7,-6.027,0,0.041,0.198,0.00684,0.425,0.117,118.027,audio_features,5UnkdjRr4jokZKjUhz4iIH,spotify:track:5UnkdjRr4jokZKjUhz4iIH,https://api.spotify.com/v1/tracks/5UnkdjRr4jokZKjUhz4iIH,https://api.spotify.com/v1/audio-analysis/5UnkdjRr4jokZKjUhz4iIH,164746,4,Don't Let Go,6AWVgCK5EEXO4Cel0shQef
Fire (with Elderbrook)___Ytram,0.584,0.865,8,-5.951,1,0.0321,0.00112,0.433,0.122,0.0743,126.003,audio_features,5HFPK8mcO6BGPZNeZPZI5L,spotify:track:5HFPK8mcO6BGPZNeZPZI5L,https://api.spotify.com/v1/tracks/5HFPK8mcO6BGPZNeZPZI5L,https://api.spotify.com/v1/audio-analysis/5HFPK8mcO6BGPZNeZPZI5L,163968,4,Fire (with Elderbrook),1T7yxksU7XWdi3qpW9eWYC
"Hikaru Nara (from ""Your Lie in April"") [Classical Medley] [Piano Arrangement]___HalcyonMusic",0.278,0.293,6,-17.576,0,0.0432,0.903,0.94,0.185,0.216,78.832,audio_features,7L18PQak2YMHLdbfVbtKXB,spotify:track:7L18PQak2YMHLdbfVbtKXB,https://api.spotify.com/v1/tracks/7L18PQak2YMHLdbfVbtKXB,https://api.spotify.com/v1/audio-analysis/7L18PQak2YMHLdbfVbtKXB,293198,4,Anime Music on the Piano (1st Collection),6MUZE61kjQ2PfJ1fDF3eUl
Rockin___DubVision,0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,audio_features,2EjXfH91m7f8HiJN1yQg97,spotify:track:2EjXfH91m7f8HiJN1yQg97,https://api.spotify.com/v1/tracks/2EjXfH91m7f8HiJN1yQg97,https://api.spotify.com/v1/audio-analysis/2EjXfH91m7f8HiJN1yQg97,126267,4,Merry Christmas From Brenda Lee,34wa3zf2prXFMk47t9zHFG
Gohan Fights Frieza___Bruce Faulconer,0.317,0.559,1,-9.959,1,0.0329,0.0018,0.839,0.427,0.287,150.553,audio_features,5woS7TZJfgAfJ5oHmifYmX,spotify:track:5woS7TZJfgAfJ5oHmifYmX,https://api.spotify.com/v1/tracks/5woS7TZJfgAfJ5oHmifYmX,https://api.spotify.com/v1/audio-analysis/5woS7TZJfgAfJ5oHmifYmX,91080,4,The Best of DragonBall Z - Volume I,4fJdXAZ4VuG4mxNIJQHd1E
Secrets___OneRepublic,0.516,0.764,2,-6.223,1,0.0366,0.0717,0,0.115,0.376,148.021,audio_features,1NhPKVLsHhFUHIOZ32QnS2,spotify:track:1NhPKVLsHhFUHIOZ32QnS2,https://api.spotify.com/v1/tracks/1NhPKVLsHhFUHIOZ32QnS2,https://api.spotify.com/v1/audio-analysis/1NhPKVLsHhFUHIOZ32QnS2,224693,4,Waking Up,2pLAOZiilrhOrTQNqrF8qr
WANT U___ARMNHMR,0.299,0.792,2,-4.931,1,0.0565,0.0327,0,0.159,0.306,149.834,audio_features,4gA8RYIv4IG31JqKUM0QnW,spotify:track:4gA8RYIv4IG31JqKUM0QnW,https://api.spotify.com/v1/tracks/4gA8RYIv4IG31JqKUM0QnW,https://api.spotify.com/v1/audio-analysis/4gA8RYIv4IG31JqKUM0QnW,195208,4,WANT U,76eL6KdLheoXKzQkfNmauE
Happy Now___Kygo,0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,audio_features,14sOS5L36385FJ3OL8hew4,spotify:track:14sOS5L36385FJ3OL8hew4,https://api.spotify.com/v1/tracks/14sOS5L36385FJ3OL8hew4,https://api.spotify.com/v1/audio-analysis/14sOS5L36385FJ3OL8hew4,211362,4,Happy Now,6nAjd2MlBY1f1mNu6BsWLO
Dynamite___Taio Cruz,0.754,0.804,4,-3.177,1,0.0853,0.00332,0,0.0329,0.818,119.968,audio_features,1DqdF42leyFIzqNDv9CjId,spotify:track:1DqdF42leyFIzqNDv9CjId,https://api.spotify.com/v1/tracks/1DqdF42leyFIzqNDv9CjId,https://api.spotify.com/v1/audio-analysis/1DqdF42leyFIzqNDv9CjId,203867,4,Rokstarr,159jpldDCgsgH6KGgjy63c
Everything___R3HAB,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,audio_features,3ZCTVFBt2Brf31RLEnCkWJ,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/tracks/3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/audio-analysis/3ZCTVFBt2Brf31RLEnCkWJ,245426,4,everything i wanted,4i3rAwPw7Ln2YrKDusaWyT
One Thought Away (feat. Wiz Khalifa) - Slushii Remix___Asher Angel,0.764,0.884,8,-1.807,1,0.125,0.174,0,0.0977,0.622,102.0,audio_features,35MU1OWiBAzBUq2nkvUYKd,spotify:track:35MU1OWiBAzBUq2nkvUYKd,https://api.spotify.com/v1/tracks/35MU1OWiBAzBUq2nkvUYKd,https://api.spotify.com/v1/audio-analysis/35MU1OWiBAzBUq2nkvUYKd,174118,4,One Thought Away (feat. Wiz Khalifa) [Slushii Remix],6vYlMwonRti2PfR6jt8if0
Outside (feat. Ellie Goulding)___Calvin Harris,0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,audio_features,7MmG8p0F9N3C4AXdK6o6Eb,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/tracks/7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/audio-analysis/7MmG8p0F9N3C4AXdK6o6Eb,227267,4,Motion,48zisMeiXniWLzOQghbPqS
Forever___Martin Garrix,0.487,0.65,0,-5.195,1,0.0253,0.191,0,0.0933,0.456,151.964,audio_features,6IBcOGPsniK3Pso1wHIhew,spotify:track:6IBcOGPsniK3Pso1wHIhew,https://api.spotify.com/v1/tracks/6IBcOGPsniK3Pso1wHIhew,https://api.spotify.com/v1/audio-analysis/6IBcOGPsniK3Pso1wHIhew,232533,4,What You See Ain't Always What You Get (Deluxe Edition),25TJxI6ZH6XjT8geRQAFz5
優しくLAST SMILE___ZUTOMAYO,0.834,0.282,5,-12.064,1,0.0545,0.882,2.08e-06,0.145,0.481,112.894,audio_features,3mQtVWxMaTkRZNScWVh9co,spotify:track:3mQtVWxMaTkRZNScWVh9co,https://api.spotify.com/v1/tracks/3mQtVWxMaTkRZNScWVh9co,https://api.spotify.com/v1/audio-analysis/3mQtVWxMaTkRZNScWVh9co,245773,4,潜潜話,4myzXA54fPm89hpW41YkOS
After All - Tucker Kreway Remix___SLANDER,0.58,0.944,3,-1.66,0,0.0468,0.000343,0.104,0.159,0.313,75.017,audio_features,343o4c7334tfDBZfrcTyDk,spotify:track:343o4c7334tfDBZfrcTyDk,https://api.spotify.com/v1/tracks/343o4c7334tfDBZfrcTyDk,https://api.spotify.com/v1/audio-analysis/343o4c7334tfDBZfrcTyDk,234000,4,After All (Remixes),5KCqZVimMblvlM1u62hXSD
